dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
8.75,9.25,,8,N3:4.80,33000001,,8.60,7,
7,8.50,,4.50,N1:4.20,33000002,,7,7.75,
,,6,,N1:2.40,33000003,4,5.20,5,4
7,8.25,,6.50,N1:6.20,33000004,,9.20,8.75,
6.50,8,,6.75,N1:5.20,33000005,,5.20,7.50,
,,7.25,,N1:8,33000006,7.75,8.80,7.25,8.25
,,7.50,,N1:4.60,33000007,4.25,8.60,7.25,7
5.50,6,,3,N1:2.80,33000008,,5.80,5.75,
,,6,,N1:6.20,33000009,4.25,7.40,5.25,6.50
6.75,7.50,,4.50,N1:2,33000010,,5,4.75,
7.50,8.75,,7,N1:3.80,33000011,,5.40,6.75,
6,7.50,,4.25,N1:2.40,33000012,,5.80,4.50,
7.75,7.75,,6.25,N1:3.20,33000013,,7.60,5.50,
,,7,,N1:3.60,33000014,3.75,8.20,6.75,7.25
8.25,9.25,,5,N1:4.60,33000015,,7.40,7.25,
8,9.50,,6.75,N1:5.80,33000016,,8.60,6.25,
6.75,8.50,,6,N1:5.40,33000017,,5,7.25,
,,8.75,,N1:4.60,33000018,4.75,8.80,6.50,9
4.75,7.25,,4,N1:3.20,33000019,,6.20,6,
,,8.75,,N1:4.60,33000020,6.75,8.80,6.25,9.25
7.50,8.75,,6.50,N1:3.80,33000021,,8.20,5.25,
6.75,7.75,,3,N1:4.80,33000022,,6.40,5.75,
6.50,9,,6,N1:4.60,33000023,,6.80,6.25,
6.50,6.25,,4,N1:3.20,33000024,,2,6.25,
7,6.75,,3.50,N1:2.60,33000025,,7,5.25,
,,8.50,,N1:9.20,33000026,7.25,9.20,5.75,8.75
6.75,7.75,,5.25,N1:4.80,33000027,,5.80,7.75,
9.25,8.75,,6.75,N1:4.80,33000028,,5.80,7.75,
8.25,9.25,,7.50,N1:9,33000029,,9.20,8.75,
7.25,8.75,,5.75,N1:5.80,33000030,,8.20,7.75,
8,8.25,,4.25,N1:3,33000031,,5.60,6,
,,8.50,,N1:5,33000032,6,8.40,8.25,8
6.50,7.75,,4.75,N1:3,33000033,,7.60,7.50,
,,5.50,,N1:6.20,33000034,5,6.80,6,7.25
6,7.50,,5.25,N1:2.80,33000035,,4.40,4.50,
6,6.50,,4.50,N1:4.20,33000036,,6.40,5.92,
3.50,6.75,,3.25,N1:3.80,33000037,,5.60,6.25,
,,5.50,,N1:4.60,33000038,2.50,8,6.75,7.25
,,8.50,,N1:5.20,33000039,6.50,9.40,6.25,8.50
8.25,8.75,,6.50,N1:3.20,33000040,,5,6.25,
6.50,7.25,,4,N1:3.40,33000041,,4.40,2.75,
7,7.75,,8,N1:5.40,33000042,,7,5.75,
7,8,,7,N1:3.80,33000043,,6.40,6,
6.75,6.25,,3.25,N1:3.40,33000044,,4,5.75,
,,7.75,,N1:4.60,33000045,4,7.60,6.75,7.25
7.75,9,,7,N1:8,33000046,,8,7,
6.75,8.50,,6.75,N1:2.60,33000047,,5.40,6,
5.50,7.50,,5.25,N1:2.20,33000048,,6.20,6.25,
7.50,8.25,,6.75,N1:6,33000049,,7.20,7.50,
,,6,,N1:7.60,33000050,4.50,9,6.75,8.50
,,7,,N1:4.40,33000051,5.25,8.40,7.75,7.50
5.75,8.25,,6,N1:1.80,33000052,,7.20,8,
,,7.75,,N1:4,33000053,5,7.80,6,8.75
7.75,8.50,,6.75,N1:4.80,33000054,,7.40,7,
,,8,,N1:4.40,33000055,7,8.20,6.75,6.25
7.50,8.75,,7,N1:6,33000056,,8,6.75,
6.25,7.50,,3.50,N1:2.40,33000057,,3,6.50,
