authors,cover_type,currency,link_book,link_img,price,title
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/giao-trinh-ky-thuat-lap-trinh-c-can-ban-va-nang-cao-p1664525.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/f4/4f/ec/c8d7c174cbca49acb9b8ef31cb690557.jpg,67500.0,Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/bo-sach-the-gioi-hacker-va-an-toan-thong-tin-mang-tang-kem-bookmark-hoa-la-p11658897.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/2e/23/64/1e6423ca303281ccd2628d474f6ec1b2.jpg,649001.0,Bộ sách Thế giới Hacker và An Toàn Thông Tin Mạng (Tặng Kèm Bookmark Hoa Lá)
Phạm Quang Hiển,Bìa mềm,VND,https://tiki.vn/giao-trinh-thuc-hanh-kiem-thu-phan-mem-tung-buoc-tro-thanh-tester-chuyen-nghiep-p55054903.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/95/50/6b/2f2435100d947bf0d718112406a8ce5c.jpg,81250.0,Giáo Trình Thực Hành Kiểm Thử Phần Mềm - Từng Bước Trở Thành Tester Chuyên Nghiệp
Nguyễn Hữu Hưng (chủ biên),Bìa mềm,VND,https://tiki.vn/combo-sach-luyen-thi-hoi-thi-tin-hoc-tre-voi-scratch-3-0-cap-tieu-hoc-p56404790.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/0d/d5/e0/6a2b00ef7c70a11c2caf000f04021c2d.jpg,360000.0,Combo sách Luyện thi hội thi tin học trẻ với Scratch 3.0 cấp Tiểu học
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/lap-trinh-arduino-voi-iot-he-van-vat-ket-noi-p54389407.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/f5/d3/e4/745825bb53985a428548fe38042b41e1.jpg,94250.0,Lập Trình Arduino Với IoT-Hệ Vạn Vật Kết Nối
Nguyễn Hữu Hưng (chủ biên),Bìa mềm,VND,https://tiki.vn/combo-sach-luyen-thi-hoi-thi-tin-hoc-tre-voi-scratch-3-0-p56415127.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/5b/7a/47/f91cf6cf28d60603ea99535814e4ae10.jpg,360000.0,Combo sách Luyện thi hội thi tin học trẻ với Scratch 3.0
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/arduino-va-lap-trinh-iot-p54389415.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/ff/76/72/824e62ff503d162fcf4b750b3b27e8f5.jpg,105300.0,Arduino Và Lập Trình IoT
Phạm Quang Huy,Bìa mềm,VND,https://tiki.vn/lap-trinh-he-thong-nhung-voi-raspberry-p19346989.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/32/b0/a6/4a2fca8aa7e555ce874d50fc31c2092e.jpg,104280.0,Lập Trình Hệ Thống Nhúng Với RASPBERRY
Nguyễn Hữu Hưng (chủ biên),Bìa mềm,VND,https://tiki.vn/sach-luyen-thi-hoi-thi-tin-hoc-tre-bang-b1_thi-ky-nang-lap-trinh-cap-trung-hoc-co-so-p55696265.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/da/55/13/6c966e8956fe39879d543f7efa61e664.jpg,190000.0,Sách luyện thi hội thi Tin học trẻ với Scratch 3.0 bảng B1_Thi kỹ năng lập trình cấp Trung học cơ sở
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/lap-trinh-voi-c-p23966748.html?src=category-page-8322.316.876.9723&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/ef/bd/f6/2752f967bcf7283d9b36c4b8718c7bfe.jpg,100000.0,Lập Trình Với C#
