authors,cover_type,currency,link_book,link_img,price,title
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/giao-trinh-tu-hoc-autocad-2019-thuc-hanh-bang-hinh-minh-hoa-kem-cd-bai-tap-tai-ban-nam-2020-p55573620.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/16/6c/6f/f6fabc290659a9919c4a760432b0e3f2.jpg,99000.0,Giáo Trình Tự Học AutoCAD 2019 Thực Hành Bằng Hình Minh Họa (Kèm CD Bài Tập) (Tái bản năm 2020)
Bìa mềm,,VND,https://tiki.vn/xu-ly-anh-voi-arduino-va-raspberry-p58723520.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/0e/a3/ae/9480f1c5e036ffb548533db57857601a.jpg,137600.0,Xử Lý Ảnh Với Arduino Và Raspberry
Bìa mềm,,VND,https://tiki.vn/thiet-ke-ket-cau-cong-trinh-etabs-9-7-2-p14677740.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/81/19/05/0c6bc45be110b0270a0dd1d1e32ad23c.jpg,120000.0,Thiết Kế Kết Cấu Công Trình ETABS 9.7.2
Barbara Waxer,Bìa mềm,VND,https://tiki.vn/thiet-ke-da-phuong-tien-voi-adobe-flash-adobe-flash-professional-cs6-illustrated-p800399.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/1/_/1.u5869.d20171102.t184208.234507.jpg,157500.0,Thiết Kế Đa Phương Tiện Với Adobe Flash Adobe Flash Professional CS6 Illustrated
Bìa mềm,,VND,https://tiki.vn/sang-tao-trong-thuat-toan-va-lap-trinh-tap-4-p3738989.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/9e/ae/5f/0afa4ef143365707d2d39f35ec381515.jpg,72250.0,Sáng Tạo Trong Thuật Toán Và Lập Trình (Tập 4)
Nguyễn Xuân Huy,Bìa mềm,VND,https://tiki.vn/sang-tao-trong-thuat-toan-va-lap-trinh-tap-5-p27979415.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/ef/94/46/193794d6f83acbf4e000719b9de22e6d.jpg,67150.0,Sáng Tạo Trong Thuật Toán Và Lập Trình - Tập 5
Bìa mềm,,VND,https://tiki.vn/kham-pha-da-phuong-tien-p4071577.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/f5/bf/b1/a53d0f1877e9c9c19e137df6659a1257.jpg,154800.0,Khám Phá Đa Phương Tiện
Bìa mềm,,VND,https://tiki.vn/thiet-ke-ket-cau-be-tong-cot-thep-dung-sap2000-v15-p4107967.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/6b/83/d3/54e439a85c1f941fda4d58d34f0a89c1.jpg,89000.0,Thiết Kế Kết Cấu Bê Tông Cốt Thép Dùng Sap2000 V15
Bìa mềm,,VND,https://tiki.vn/kiem-thu-nang-cao-p4071579.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/27/13/20/85a20bcea27133b4d851ae93685a040f.jpg,123300.0,Kiểm Thử Nâng Cao
Bìa mềm,,VND,https://tiki.vn/lap-trinh-iot-voi-arduino-esp8266-va-xbee-p4106363.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/eb/55/70/9a211f445a71d08365629c4ff14e2fb6.jpg,99000.0,"Lập Trình IOT Với ARDUINO, ESP8266 Và XBEE"
Phạm Quang Hiển,Bìa mềm,VND,https://tiki.vn/giao-trinh-thuc-hanh-thiet-ke-kien-truc-revit-toan-tap-dung-cho-cac-phien-ban-2018-2017-p1911451.html?src=category-page-8322.316.876.9722&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/8d/b0/f3/8caf937e9494062b7b93b081236c0866.jpg,93720.0,Giáo Trình Thực Hành Thiết Kế Kiến Trúc - REVIT Toàn Tập: Dùng Cho Các Phiên Bản 2018 - 2017
