authors,cover_type,currency,link_book,link_img,price,title
 Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/giao-trinh-thuc-hanh-microsoft-excel-2019-can-ban-nang-cao-sach-kem-theo-cd-bai-tap-p50317469.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/47/48/5b/0ded975be359ebeea30d2cbd2c55f467.jpg,107000.0,Giáo Trình Thực Hành Microsoft Excel 2019 Căn Bản & Nâng Cao (Sách kèm theo CD Bài Tập)
Nhiều Tác Giả,,VND,https://tiki.vn/chinh-phuc-cac-dang-toan-thuc-te-thcs-voi-may-tinh-casio-fx-580-vn-x-casio-fx-570-vn-plus-p58708783.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/39/8d/5d/a49348735063fd50dc26a025dce60445.jpg,117000.0,Chinh Phục Các Dạng Toán Thực Tế THCS Với Máy Tính Casio FX - 580 VN X / CASIO FX - 570 VN PLUS
Bìa mềm,,VND,https://tiki.vn/doanh-nghiep-va-dien-toan-dam-may-p771591.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img060.u5505.d20170806.t231255.628303.jpg,99200.0,Doanh Nghiệp Và Điện Toán Đám Mây
Nhiều Tác Giả,,VND,https://tiki.vn/lap-trinh-va-giam-sat-mang-truyen-thong-cong-nghiep-scada-p26145056.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/4c/2d/76/dc2370bf88252653aa4542de8ab0c5f5.jpg,139500.0,Lập Trình Và Giám Sát Mạng Truyền Thông Công Nghiệp Scada
,,VND,https://tiki.vn/cuon-sach-huong-dan-ban-phuong-phap-tu-duy-bang-hinh-anh-trong-viec-thiet-ke-slide-hoc-cach-thiet-ke-slide-p53261220.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/e0/6c/3e/2206133abc20f5d005e84ee358e882a1.jpg,164000.0,Cuốn Sách Hướng Dẫn Bạn Phương Pháp Tư Duy Bằng Hình Ảnh Trong Việc Thiết Kế Slide: Học Cách Thiết Kế Slide
Bìa mềm,,VND,https://tiki.vn/combo-lap-trinh-dinh-cao-giao-trinh-ky-thuat-lap-trinh-c-can-ban-va-nang-cao-code-dao-ki-su-lap-trinh-vien-dau-phai-chi-biet-code-nhung-cuon-sach-goi-dau-cua-nhung-nha-lap-trinh-bacnhat-the-gioi-p53977565.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/09/98/1d/e299bf44a089a54e2132bbd6a036ee0b.jpg,268900.0,Combo Lập Trình Đỉnh Cao: Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao + Code Dạo Kí Sự - Lập Trình Viên Đâu Phải Chỉ Biết Code / Những Cuốn Sách Gối Đầu Của Những Nhà Lập Trình BậcNhất Thế Giới
VN - Guide,Bìa mềm,VND,https://tiki.vn/tin-hoc-van-phong-cong-thuc-va-ham-excel-p17495500.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/ed/ed/2d/171061b121052e570a47638954e3f237.jpg,37920.0,Tin Học Văn Phòng - Công Thức và Hàm Excel
Phạm Phương Hoa,Bìa mềm,VND,https://tiki.vn/excel-danh-cho-nguoi-tu-hoc-p58723518.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/b0/14/82/c76aa50bea038bd5919c3781a41ca8dc.jpg,137600.0,Excel Dành Cho Người Tự Học
Nguyễn Thi Kiêm Ái,,VND,https://tiki.vn/kie-m-thu-pha-n-me-m-tung-buoc-tro-thanh-tester-chuyen-nghiep-p51617979.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/57/b8/55/0cddfb07939b09b303f2445d934bd6a1.jpg,44200.0,KiểM Thử PhầN MềM - Từng Bước Trở Thành Tester Chuyên Nghiệp
Trần Chí Đạt,Bìa mềm,VND,https://tiki.vn/ccnp-labpro-route-p4087415.html?src=category-page-8322.316.876.9721&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/86/3d/4c/eff46c8303434227dc886247ad3684b3.jpg,150000.0,CCNP Labpro Route (Tái Bản)
