authors,cover_type,currency,link_book,link_img,price,title
The Windy,Bìa mềm,VND,https://tiki.vn/tu-hoc-2000-tu-vung-tieng-anh-theo-chu-de-p1007137.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/d5/53/0e/fc00028419754638dd5b250abbcb0de7.jpg,32500.0,Tự Học 2000 Từ Vựng Tiếng Anh Theo Chủ Đề
Trang Anh,Bìa mềm,VND,https://tiki.vn/combo-30-chu-de-tu-vung-tieng-anh-2-tap-p28292286.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/1f/ee/f6/e04fad6b0a4231954e433069a3e66ad8.jpg,190000.0,Combo 30 Chủ Đề Từ Vựng Tiếng Anh (2 Tập)
Nguyễn Anh Đức,Bìa mềm,VND,https://tiki.vn/luyen-sieu-tri-nho-tu-vung-tieng-anh-dung-kem-app-p435425.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/7f/2a/dc/14e22a861de5b44ba1637e8f2146b63a.jpg,94000.0,Luyện Siêu Trí Nhớ Từ Vựng Tiếng Anh (Dùng Kèm App)
Viện ngôn ngữ Hackers,Bìa mềm,VND,https://tiki.vn/hackers-ielts-writing-p27611077.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/51/1e/85/7793d19ae470e25f1ab0cf3455ed8d62.jpg,119500.0,Hackers Ielts: Writing
Eng Breaking,Bìa mềm,VND,https://tiki.vn/tu-hoc-tieng-anh-giao-tiep-chi-trong-3-thang-cho-nguoi-moi-bat-dau-voi-eng-breaking-revolution-kem-dvd-va-tk-truc-tuyen-p8414319.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/82/1c/76/2745a21a7ea39f802b1993a2373a8ac2.jpg,490000.0,Tự Học Tiếng Anh Giao Tiếp Chỉ Trong 3 Tháng - Eng Breaking (Kèm DVD Học Offline Và Tài Khoản Học Online)
Viện ngôn ngữ Hackers,Bìa mềm,VND,https://tiki.vn/hackers-ielts-speaking-p27611050.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/1b/58/65/16e873c283c090b3cb3e28ab3e660648.jpg,99500.0,Hackers Ielts: Speaking
Trang Anh,,VND,https://tiki.vn/30-chu-de-tu-vung-tieng-anh-tap-1-p23433003.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/c5/e2/b7/a656c96ab64d76d9cb58015f09599fe3.jpg,95000.0,30 Chủ Đề Từ Vựng Tiếng Anh (Tập 1)
Nguyễn Thị Thu Huế,Bìa mềm,VND,https://tiki.vn/3500-tu-vung-tieng-anh-theo-chu-de-tai-ban-02-p29830424.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/97/28/e0/4deb081fdc4720a6aab965b0881197c4.jpg,36000.0,3500 Từ Vựng Tiếng Anh Theo Chủ Đề (Tái Bản 02)
Nguyễn Văn Hiệp (Chủ biên),Bìa mềm,VND,https://tiki.vn/hack-nao-1500-phien-ban-2020-p48504524.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/e8/76/1d/2f585adf727194db30d9b1e6ac58aaca.png,399000.0,"Hack Não 1500 - sách tự học từ vựng theo chủ đề, đi kèm App dạy phát âm của người bản xứ và 4 buổi học Livestream mỗi tuần - tự tin đọc hiểu và giao tiếp tiếng Anh, luyện siêu trí nhớ sau 50 ngày"
Mai Lan Hương,Bìa mềm,VND,https://tiki.vn/ngu-phap-tieng-anh-tai-ban-p31209681.html?src=category-page-8322.316.887.1856&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/ac/d2/cb/7a379686897fbfd07d637da21a8dfdd0.jpg,40000.0,Ngữ Pháp Tiếng Anh (Tái Bản)
