authors,cover_type,currency,link_book,link_img,price,title
Michio Kaku,Bìa mềm,VND,https://tiki.vn/cac-the-gioi-song-song-tai-ban-2018-p446881.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/c/a/cac_the_gioi_song_song.jpg,76800.0,Các Thế Giới Song Song (Tái Bản 2018)
Albert Einstein & Leopold,Bìa mềm,VND,https://tiki.vn/su-tien-hoa-cua-vat-ly-tai-ban-p48525992.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/de/94/48/566dc6dbb9fe50a943263a54284a07ec.jpg,108000.0,Sự Tiến Hóa Của Vật Lý (Tái bản)
"Nguyễn Trọng Thắng, Trần Thề San",Bìa mềm,VND,https://tiki.vn/dien-cong-nghiep-va-dieu-khien-dong-co-p589162.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/6b/7a/a5/795d42e9f774d0960936bb221b273198.jpg,125000.0,Điện Công Nghiệp Và Điều Khiển Động Cơ
Trần Thế San - Nguyễn Ngọc Phương,Bìa mềm,VND,https://tiki.vn/thiet-ke-mach-va-lap-trinh-plc-p576266.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img091.u547.d20170222.t153226.990712.jpg,45000.0,Thiết Kế Mạch Và Lập Trình PLC
Châu Ngọc Thạch,,VND,https://tiki.vn/ky-thuat-dien-lanh-p10776857.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/ee/00/a1/c1112e98f5e94727339dd12bb52856a5.jpg,85000.0, Kỹ thuật điện lạnh
Trần Duy Phụng,Bìa mềm,VND,https://tiki.vn/ky-thuat-quan-day-may-bien-ap-dong-co-van-nang-dong-co-1-pha-3-pha-p576474.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img100.u547.d20170223.t124047.849953.jpg,79000.0,"Kỹ Thuật Quấn Dây Máy Biến Áp Động Cơ Vạn Năng, Động Cơ 1 Pha - 3 Pha"
Bìa mềm,,VND,https://tiki.vn/nhan-hoc-doi-dien-voi-nhung-van-de-cua-the-gioi-hien-dai-p52672771.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/4d/57/5a/d5692b73e9b47b09261a528ce9a4f982.jpg,109000.0,Nhân Học Đối Diện Với Những Vấn Đề Của Thế Giới Hiện Đại
Daniel J. Boorstin,Bìa mềm,VND,https://tiki.vn/nhung-nha-kham-pha-lich-su-tri-kien-van-vat-va-con-nguoi-p5914513.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/48/7a/06/9ca3cf9559e8ad00f1633e29d8a9a669.jpg,125400.0,Những Nhà Khám Phá - Lịch Sử Tri Kiến Vạn Vật Và Con Người
Ngô Đức Vượng,Bìa mềm,VND,https://tiki.vn/minh-triet-trong-an-uong-cua-phuong-dong-p550457.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/m/i/minhtriettronganuong1.u547.d20161006.t144633.531556.jpg,111003.0,Minh Triết Trong Ăn Uống Của Phương Đông
PGS. TS. Hoàng Nghĩa Tý,Bìa mềm,VND,https://tiki.vn/cau-truc-du-lieu-va-thuat-toan-p27177876.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/54/64/fc/8ff1d1fe73b530200985b46699c4308a.jpg,117822.0,Cấu Trúc Dữ Liệu Và Thuật Toán
