authors,cover_type,currency,link_book,link_img,price,title
Masanobu Fukuoka,Bìa mềm,VND,https://tiki.vn/gieo-mam-tren-sa-mac-p843275.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/73/b7/90/1844f00059e0454ff63044927da6a6df.jpg,90000.0,Gieo Mầm Trên Sa Mạc
,,,https://tiki.vn/nuoi-ech-cong-nghiep-p14295995.html?src=category-page-8322.316.882&2hi=0,,,
Bìa mềm,,VND,https://tiki.vn/nong-nghiep-xanh-ben-vung-thuc-hanh-nong-nghiep-huu-co-p51505087.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/a2/99/a3/bf1f0d6078713712b313354723ec1c35.jpg,60110.0,"Nông Nghiệp Xanh, Bền Vững - Thực Hành Nông Nghiệp Hữu Cơ"
Kunio KobayaShi,Bìa mềm,VND,https://tiki.vn/bonsai-p392277.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/b/o/bon-sai.jpg,95000.0,Bonsai
Nguyễn Thị Hồng,Bìa mềm,VND,https://tiki.vn/ky-thuat-nuoi-bo-cau-tai-ban-p473934.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img984_9.jpg,15399.0,Kỹ Thuật Nuôi Bồ Câu (Tái Bản)
Việt Chương - Phúc Quyên,Bìa mềm,VND,https://tiki.vn/cach-chon-cay-mai-dep-p438311.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img478_7.jpg,20400.0,Cách Chọn Cây Mai Đẹp
Việt Chương,Bìa mềm,VND,https://tiki.vn/ky-thuat-nuoi-trun-gioi-tao-nguon-thuc-pham-bo-duong-cho-gia-cam-gia-suc-tai-ban-2016-p491351.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img796.u335.d20160421.t111918.jpg,38000.0,Kỹ Thuật Nuôi Trùn - Giòi Tạo Nguồn Thực Phẩm Bổ Dưỡng Cho Gia Cầm - Gia Súc (Tái Bản 2016)
Việt Chương - Phúc Quyên,Bìa mềm,VND,https://tiki.vn/nuoi-ga-cong-nghiep-giong-sieu-trung-sieu-thit-tai-ban-p473906.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img983_10.jpg,35000.0,"Nuôi Gà Công Nghiệp Giống Siêu Trứng, Siêu Thịt (Tái Bản)"
Việt Chương - Phúc Quyên,Bìa mềm,VND,https://tiki.vn/phuong-phap-nuoi-ca-rong-cho-sinh-san-p438746.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img046_9.jpg,22000.0,Phương Pháp Nuôi Cá Rồng Cho Sinh Sản
Thái Hà,,VND,https://tiki.vn/nghe-thuat-trong-hoa-va-cay-canh-bonsai-ky-thuat-trong-lan-nhiet-doi-p23424499.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/b6/e8/f4/70a127e61609346e927b3982e8f6b0ea.jpg,25350.0,Nghệ Thuật Trồng Hoa và Cây Cảnh BonSai - Kỹ Thuật Trồng Lan Nhiệt Đới
Lê Ninh,Bìa mềm,VND,https://tiki.vn/nong-nghiep-xanh-sach-ky-thuat-trong-cay-an-trai-va-cay-luong-thuc-huu-co-p48210126.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/03/6a/c1/10250dac7a9c284c5716c12fcf45345d.jpg,47264.0,"Nông Nghiệp Xanh, Sạch - Kỹ Thuật Trồng Cây Ăn Trái Và Cây Lương Thực Hữu Cơ"
Nguyễn Thị Hồng,Bìa mềm,VND,https://tiki.vn/ky-thuat-nuoi-ga-ac-ga-ta-p473937.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img985_11.jpg,15399.0,"Kỹ Thuật Nuôi Gà Ác, Gà Ta"
Việt Chương,Bìa mềm,VND,https://tiki.vn/kinh-nghiem-trong-nam-rom-nam-meo-p432398.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img457_4.jpg,24500.0,Kinh Nghiệm Trồng Nấm Rơm Nấm Mèo
Thanh Huyền,,VND,https://tiki.vn/ky-thuat-trong-va-cham-soc-hoa-hong-p56003663.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/0f/9b/ac/7e4d6505bd55fe237fcb023c6a965b88.jpg,20150.0,Kỹ Thuật Trồng Và Chăm Sóc Hoa Hồng
Việt Chương - Nguyễn Sô,Bìa mềm,VND,https://tiki.vn/ky-thuat-nuoi-kinh-doanh-ca-kieng-p438767.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img604_6.jpg,15000.0,Kỹ Thuật Nuôi & Kinh Doanh Cá Kiểng 
Việt Chương - Phúc Quyên,Bìa mềm,VND,https://tiki.vn/110-cau-hoi-dap-cham-soc-va-tao-dang-bonsai-p439688.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img818_5.jpg,20400.0,110 Câu Hỏi Đáp Chăm Sóc Và Tạo Dáng Bonsai
Việt Chương - Phúc Quyên,Bìa mềm,VND,https://tiki.vn/phuong-phap-nuoi-de-p596949.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/a/9/a953571205155b3fc49d1ed1aa62f982.u5102.d20170329.t140609.195766.jpg,24500.0,Phương Pháp Nuôi Dế
Nguyễn Thị Hồng,Bìa mềm,VND,https://tiki.vn/ky-thuat-nuoi-ga-sao-ga-tay-loi-ga-h-mong-p395112.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/k/y/ky-thuat-nuoi-ga-tay.jpg,12240.0,"Kỹ Thuật Nuôi Gà Sao, Gà Tây (Lôi), Gà H'mông"
Khang Việt (biên soạn),Bìa mềm,VND,https://tiki.vn/bi-quyet-thanh-cong-ki-thuat-trong-nho-hieu-qua-p532354.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/8/5/859632620556.u335.d20160801.t151903.jpg,34000.0,Bí Quyết Thành Công Kĩ Thuật Trồng Nho Hiệu Quả
Thanh Huyền,,VND,https://tiki.vn/ky-thuat-trong-uom-giong-cay-canh-p55282792.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/48/ff/96/733901f7e6eea155658f5e771452e2d2.jpg,23800.0,Kỹ Thuật Trồng Ươm Giống Cây Cảnh
Ks. Thái Hà - Đặng Mai,Bìa mềm,VND,https://tiki.vn/ban-cua-nha-nong-ky-thuat-nuoi-va-cham-soc-cho-p455690.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img063_15.jpg,12350.0,Bạn Của Nhà Nông - Kỹ Thuật Nuôi Và Chăm Sóc Chó
Việt Chương,Bìa mềm,VND,https://tiki.vn/nuoi-ca-ro-dong-sinh-san-nhan-tao-tai-ban-2016-p490807.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img759.u335.d20160420.t090241.jpg,35000.0,Nuôi Cá Rô Đồng Sinh Sản Nhân Tạo (Tái Bản 2016)
Lê Công Sỹ,Bìa mềm,VND,https://tiki.vn/nong-nghiep-xanh-sach-ky-thuat-trong-cay-va-hoa-thuy-sinh-p48207105.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/da/d4/05/efe3736c15d6e296451aaa2fb9bb8e85.jpg,34668.0,"Nông Nghiệp Xanh, Sạch - Kỹ Thuật Trồng Cây Và Hoa Thủy Sinh"
 Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/nong-nghiep-xanh-ben-vung-mo-hinh-sinh-ke-giup-nha-nong-giam-ngheo-p51502227.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/b2/50/6e/506f2a4c37e8eb93288b7dde434c5670.jpg,75278.0,"Nông Nghiệp Xanh, Bền Vững - Mô Hình Sinh Kế Giúp Nhà Nông Giảm Nghèo"
Trần Thị Thanh Liêm - Trương Ngọc Quỳnh,Bìa mềm,VND,https://tiki.vn/nong-nghiep-xanh-sach-ky-thuat-trong-cac-loai-cay-huong-thao-p48205389.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/e1/c4/5b/eaf2f8a7204644222884f8ff2349c909.jpg,42366.0,"Nông Nghiệp Xanh, Sạch - Kỹ Thuật Trồng Các Loại Cây Hương Thảo"
Việt Chương,Bìa mềm,VND,https://tiki.vn/ky-thuat-nuoi-heo-rung-lai-p691650.html?src=category-page-8322.316.882&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/3/9/39.u5168.d20170620.t115825.759082.jpg,28000.0,Kỹ Thuật Nuôi Heo Rừng Lai
