authors,cover_type,currency,link_book,link_img,price,title
Phạm Văn Ất,Bìa mềm,VND,https://tiki.vn/giao-trinh-c-va-lap-trinh-huong-doi-tuong-p1325399.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/d6/0e/09/7c48a0e134d985f72b84f63727d6a09d.jpg,72500.0,Giáo Trình C++ Và Lập Trình Hướng Đối Tượng
Nhiều Tác Giả,,VND,https://tiki.vn/tieng-viet-1-1-sach-giao-vien-bo-sach-ket-noi-tri-thuc-voi-cuoc-song-p63670584.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/32/d9/a1/8ced9b8cf01924723b4594c3ec37ebc2.jpg,94050.0,Tiếng Việt 1/1 - Sách Giáo Viên (Bộ Sách Kết Nối Tri Thức Với Cuộc Sống)
TS. Nguyễn Hoàng Bảo,Bìa mềm,VND,https://tiki.vn/cau-hoi-bai-tap-trac-nghiem-kinh-te-vi-mo-p1197797.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/9c/75/96/e8cb47fdf02db02c58ac93198d818328.jpg,80000.0,Câu Hỏi - Bài Tập - Trắc Nghiệm Kinh Tế Vi Mô
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/bao-cao-tai-chinh-trinh-bay-phan-tich-kiem-tra-va-kiem-toan-p5448905.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/b6/90/7b/ef30ab49c180ac79bc5d4418f9d767cf.jpg,94250.0,"Báo Cáo Tài Chính - Trình Bày, Phân Tích, Kiểm Tra Và Kiểm Toán"
ThS. Trần Bá Thọ,Bìa mềm,VND,https://tiki.vn/kinh-te-vi-mo-p1197801.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/8d/c1/92/c4e313eb432448c3ada5cd0f118e666e.jpg,80000.0,Kinh Tế Vi Mô
MBA Trần Xuân Nam,Bìa mềm,VND,https://tiki.vn/ke-toan-tai-chinh-tap-1-p546177.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/6/_/6.u2487.d20160920.t140313.980814.jpg,259900.0,Kế Toán Tài Chính (Tập 1)
TS. Nguyễn Như Ý,Bìa mềm,VND,https://tiki.vn/kinh-te-vi-mo-p1207561.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/29/07/54/2218d748323dff9e9b142b9cc4ae51a2.jpg,80000.0,Kinh Tế Vĩ Mô
KS.Phạm Quang Huy,Bìa mềm,VND,https://tiki.vn/giao-trinh-dien-tu-thuc-hanh-p56602530.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/7c/13/06/789083de8b74ce470767769d33f656d2.JPG,120000.0,Giáo Trình Điện Tử Thực Hành
Darwin,Bìa mềm,VND,https://tiki.vn/nguon-goc-cac-loai-p712853.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/4/-/4-nguon-goc-cac-loai.u5168.d20170710.t135447.262055.jpg,114000.0,Nguồn Gốc Các Loài
Bìa mềm,,VND,https://tiki.vn/marketing-can-ban-p13852623.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/7e/be/ec/19058e30d803a5bdd9d4638da7ed2bc8.jpg,75000.0,Marketing Căn Bản
